,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,"370,617,031","+380,983","5,668,521",+897,"292,685,666","+325,731","72,262,844","95,087","47,547",727.2,
1,USA,"75,271,402",,"905,661 ",,"45,806,388",,"28,559,353","24,384","225,325","2,711"
2,India,"40,858,241",,"493,218 ",,"38,360,710",,"2,004,313","8,944","29,156",352
3,Brazil,"25,040,161",,"625,948 ",,"22,162,914",,"2,251,299","8,318","116,500","2,912"
4,France,"18,476,227",,"130,278 ",,"11,684,843",,"6,661,106","3,760","282,076","1,989"
5,UK,"16,333,980",,"155,317 ",,"13,109,694",,"3,068,969",549,"238,637","2,269"
6,Russia,"11,502,657",,"329,443 ",,"10,159,197",,"1,014,017","2,300","78,768","2,256"
7,Turkey,"11,343,693",,"86,871 ",,"10,652,930",,"603,892","1,128","132,262","1,013"
8,Italy,"10,683,948",,"145,537 ",,"7,869,583",,"2,668,828","1,630","177,116","2,413"
9,Spain,"9,779,130",,"92,966 ",,"5,839,859",,"3,846,305","2,060","209,030","1,987"
10,Germany,"9,524,101",,"118,244 ",,"7,532,600","+38,400","1,873,257","2,447","113,105","1,404"
11,Argentina,"8,271,636",,"120,657 ",,"7,387,559",,"763,420","2,945","180,414","2,632"
12,Iran,"6,310,452",,"132,356 ",,"6,095,414",,"82,682","1,294","73,648","1,545"
13,Colombia,"5,837,408",,"133,560 ",,"5,604,944",,"98,904",342,"112,831","2,582"
14,Mexico,"4,873,561","+45,115","305,240 ",+437,"3,940,328","+44,628","627,993","4,798","37,185","2,329"
15,Poland,"4,752,700",,"104,907 ",,"3,905,776",,"742,017","1,074","125,795","2,777"
16,Indonesia,"4,319,175",,"144,268 ",,"4,131,333",,"43,574",250,"15,533",519
17,Netherlands,"4,205,649",,"21,262 ",,"3,079,999",,"1,104,388",237,"244,592","1,237"
18,Ukraine,"4,017,961","+37,351","100,031 ",+149,"3,615,257","+7,163","302,673",177,"92,750","2,309"
19,South Africa,"3,598,288",,"94,784 ",,"3,436,326",,"67,178",546,"59,491","1,567"
20,Philippines,"3,511,491",,"53,801 ",,"3,226,032",,"231,658","1,371","31,388",481
21,Peru,"3,160,732",,"205,112 ",,N/A,N/A,N/A,"1,273","93,807","6,087"
22,Belgium,"3,055,925","+48,201","28,957 ",+19,"2,033,898","+9,929","993,070",359,"261,884","2,482"
23,Canada,"3,014,220",,"33,513 ",,"2,753,596",,"227,111","1,211","78,777",876
24,Czechia,"2,971,107","+47,220","37,168 ",+7,"2,627,880","+24,638","306,059",184,"276,633","3,461"
25,Malaysia,"2,855,930",,"31,952 ",,"2,773,948",,"50,030",127,"86,496",968
26,Israel,"2,705,103",,"8,599 ",,"2,158,276",,"538,228",941,"290,060",922
27,Australia,"2,523,265","+39,038","3,632 ",+96,"2,183,021","+90,751","336,612",392,"97,179",140
28,Portugal,"2,507,357",,"19,788 ",,"1,908,199",,"579,370",152,"247,032","1,950"
29,Japan,"2,502,437","+80,994","18,686 ",+44,"1,959,320","+40,055","524,431",734,"19,882",148
30,Thailand,"2,424,090","+8,618","22,148 ",+19,"2,318,006","+8,358","83,936",588,"34,593",316
31,Vietnam,"2,218,137",,"37,432 ",,"1,950,244",,"230,461","4,147","22,470",379
32,Iraq,"2,191,956",,"24,347 ",,"2,095,374",,"72,235",115,"52,639",585
33,Romania,"2,146,558",,"59,857 ",,"1,894,077",,"192,624",773,"112,765","3,144"
34,Switzerland,"2,122,135",,"12,785 ",,"1,283,361",,"825,989",214,"242,413","1,460"
35,Chile,"2,075,703",,"39,620 ",,"1,763,271",,"272,812",425,"107,137","2,045"
36,Sweden,"2,070,456",,"15,820 ",,"1,299,018",,"755,618",99,"203,019","1,551"
37,Greece,"1,890,296",,"23,195 ",,"1,637,788",,"229,313",605,"182,762","2,243"
38,Austria,"1,766,292",,"14,061 ",,"1,469,235",,"282,996",183,"194,370","1,547"
39,Bangladesh,"1,762,771",,"28,308 ",,"1,562,369",,"172,094","1,277","10,538",169
40,Serbia,"1,633,868",,"13,459 ",,"1,346,127",,"274,282",143,"188,191","1,550"
41,Denmark,"1,567,270",,"3,700 ",,"1,042,333",,"521,237",33,"269,092",635
42,Hungary,"1,508,358",,"41,229 ",,"1,241,328",,"225,801",145,"156,766","4,285"
43,Pakistan,"1,410,033","+7,963","29,219 ",+27,"1,276,719","+2,062","104,095","1,375","6,194",128
44,Kazakhstan,"1,216,522","+11,753","13,194 ",,"1,045,172","+12,533","158,156",528,"63,593",690
45,Jordan,"1,189,080",,"13,157 ",,"1,097,176",,"78,747",734,"114,749","1,270"
46,Ireland,"1,169,645",,"6,136 ",,"741,759",,"421,750",69,"232,786","1,221"
47,Georgia,"1,145,508","+18,274","14,911 ",+41,"995,328","+8,400","135,269",,"288,025","3,749"
48,Morocco,"1,124,986",,"15,300 ",,"1,057,333",,"52,353",293,"29,921",407
49,Cuba,"1,036,783",,"8,388 ",,"1,013,640",,"14,755",63,"91,623",741
50,Slovakia,"971,945",,"17,779 ",,"856,620",,"97,546",287,"177,888","3,254"
51,Nepal,"944,074",,"11,697 ",,"842,436",,"89,941",100,"31,510",390
52,Bulgaria,"933,337",,"33,088 ",,"666,237",,"234,012",509,"135,934","4,819"
53,Croatia,"919,598",,"13,690 ",,"839,157",,"66,751",185,"226,200","3,367"
54,Lebanon,"900,098",,"9,561 ",,"682,977",,"207,560",186,"132,810","1,411"
55,Tunisia,"884,588",,"26,132 ",,"746,076",,"112,380",166,"73,635","2,175"
56,Bolivia,"841,757",,"20,824 ",,"670,031",,"150,902",220,"70,597","1,746"
57,UAE,"838,384",,"2,234 ",,"774,043",,"62,107",,"83,187",222
58,S. Korea,"811,122","+17,540","6,712 ",+34,"618,561","+3,849","185,849",385,"15,799",131
59,Belarus,"736,299",,"6,009 ",,"727,857",,"2,433",,"77,961",636
60,Norway,"736,051",,"1,439 ",,"88,952",,"645,660",54,"134,122",262
61,Ecuador,"707,224",,"34,442 ",,N/A,N/A,N/A,759,"39,150","1,907"
62,Panama,"685,630",,"7,680 ",,"598,505",,"79,445",35,"155,065","1,737"
63,Guatemala,"685,542",,"16,343 ",,"629,692",,"39,507",5,"37,184",886
64,Costa Rica,"682,480",,"7,533 ",,"573,010",,"101,937",123,"132,077","1,458"
65,Saudi Arabia,"675,471",,"8,931 ",,"626,532",,"40,008",869,"18,939",250
66,Slovenia,"673,154",,"5,835 ",,"513,949",,"153,370",131,"323,727","2,806"
67,Lithuania,"663,810","+11,666","7,845 ",+12,"576,756","+33,979","79,209",99,"249,318","2,946"
68,Azerbaijan,"647,073",,"8,683 ",,"621,186",,"17,204",,"62,927",844
69,Uruguay,"644,631",,"6,411 ",,"564,202",,"74,018",131,"184,567","1,836"
70,Sri Lanka,"608,065",,"15,386 ",,"577,314",,"15,365",,"28,211",714
71,Paraguay,"565,368",,"17,212 ",,"484,520",,"63,636",179,"77,764","2,367"
72,Dominican Republic,"551,528",,"4,298 ",,"533,584",,"13,646",208,"50,052",390
73,Myanmar,"534,908",,"19,310 ",,"512,900",,"2,698",,"9,728",351
74,Kuwait,"528,254",,"2,492 ",,"475,590",,"50,172",88,"120,885",570
75,Venezuela,"479,011",,"5,430 ",,"456,386",,"17,195",230,"16,921",192
76,Finland,"475,431",,"1,942 ",,"46,000",,"427,489",52,"85,597",350
77,Palestine,"473,867",,"4,812 ",,"441,495",,"27,560",63,"89,616",910
78,Ethiopia,"464,383",,"7,311 ",,"396,095",,"60,977",313,"3,888",61
79,Mongolia,"440,352","+2,057","2,104 ",,"313,256",,"124,992",192,"131,006",626
80,Moldova,"434,549",,"10,621 ",,"378,443",,"45,485",204,"108,118","2,643"
81,Libya,"419,543",,"5,993 ",,"390,934",,"22,616",141,"59,779",854
82,Egypt,"419,460",,"22,522 ",,"353,409",,"43,529",122,"3,981",214
83,Honduras,"391,874",,"10,504 ",,"127,038",,"254,332",105,"38,600","1,035"
84,Latvia,"372,503",,"4,855 ",,"291,261",,"76,387",67,"200,986","2,620"
85,Armenia,"364,348","+2,594","8,041 ",+6,"335,462",+235,"20,845",,"122,595","2,706"
86,Bahrain,"355,314",,"1,403 ",,"317,262",,"36,649",11,"198,009",782
87,Bosnia and Herzegovina,"343,986",,"14,310 ",,"192,218",,"137,458",,"105,884","4,405"
88,Singapore,"338,625",,853  ,,"317,043",,"20,729",7,"57,174",144
89,Qatar,"334,543",,641 ,,"305,001",,"28,901",88,"119,148",228
90,Oman,"330,767",,"4,134 ",,"308,825",,"17,808",30,"62,283",778
91,Kenya,"321,111",,"5,578 ",,"294,035",,"21,498",20,"5,772",100
92,Estonia,"319,505",,"2,025 ",,"253,274",,"64,206",18,"240,602","1,525"
93,Zambia,"304,353",,"3,910 ",,"295,937",,"4,506",92,"15,858",204
94,North Macedonia,"265,101",,"8,338 ",,"239,581",,"17,182",,"127,254","4,002"
95,Albania,"255,741",,"3,334 ",,"230,193",,"22,214",23,"89,020","1,161"
96,Nigeria,"252,912",,"3,134 ",,"228,632",,"21,146",11,"1,181",15
97,Botswana,"250,746",,"2,580 ",,"243,325",,"4,841",1,"103,347","1,063"
98,Cyprus,"248,941",,726 ,,"124,370",,"123,845",60,"203,852",595
99,Algeria,"247,568",,"6,545 ",,"164,950",,"76,073",43,"5,490",145
100,Zimbabwe,"229,333",,"5,333 ",,"217,355",,"6,645",12,"15,085",351
101,Mozambique,"223,612",,"2,165 ",,"209,396",,"12,051",13,"6,853",66
102,Uzbekistan,"220,815","+1,152","1,558 ",+4,"209,780",+363,"9,477",23,"6,451",46
103,Montenegro,"217,752",,"2,546 ",,"208,123",,"7,083",60,"346,633","4,053"
104,Kyrgyzstan,"197,437",,"2,867 ",,"185,771",,"8,799",131,"29,497",428
105,Réunion,"180,531",,500 ,,"108,771",,"71,260",60,"199,402",552
106,Uganda,"161,354",,"3,517 ",,"99,195",,"58,642",284,"3,361",73
107,Afghanistan,"161,057",,"7,403 ",,"146,456",,"7,198","1,124","3,996",184
108,Ghana,"156,515",,"1,388 ",,"153,039",,"2,088",8,"4,877",43
109,Namibia,"155,722",,"3,962 ",,"145,552",,"6,208",23,"59,589","1,516"
110,Luxembourg,"153,435",,948 ,,"120,291",,"32,196",10,"238,999","1,477"
111,Laos,"133,218",+537,538 ,,"7,660",,"125,020",,"17,902",72
112,Maldives,"130,599",,274 ,,"112,535",,"17,790",25,"235,097",493
113,Rwanda,"128,708",,"1,438 ",,"45,522",,"81,748",5,"9,565",107
114,El Salvador,"127,012",,"3,877 ",,"117,753",,"5,382",112,"19,428",593
115,Jamaica,"123,047",,"2,635 ",,"69,258",,"51,154",25,"41,270",884
116,Cambodia,"121,242",+54,"3,015 ",,"117,363",+60,864,,"7,097",176
117,Cameroon,"114,113",,"1,867 ",,"106,050",,"6,196",13,"4,137",68
118,Trinidad and Tobago,"109,660",,"3,372 ",,"84,292",,"21,996",22,"77,960","2,397"
119,Guadeloupe,"105,319",,773 ,,"2,250",,"102,296",21,"263,145","1,931"
120,Angola,"98,029",,"1,893 ",,"93,647",,"2,489",12,"2,844",55
121,DRC,"84,998",,"1,278 ",,"50,930",,"32,790",,906,14
122,Senegal,"84,786",,"1,941 ",,"79,363",,"3,482",13,"4,862",111
123,Malawi,"84,309",,"2,553 ",,"69,035",,"12,721",67,"4,235",128
124,Martinique,"82,813",,826 ,,104,,"81,883",33,"220,948","2,204"
125,Ivory Coast,"80,566",,782 ,,"77,453",,"2,331",,"2,940",29
126,French Guiana,"75,242",,371 ,,"11,254",,"63,617",16,"242,056","1,194"
127,Suriname,"72,943",+395,"1,257 ",+1,"49,244",+8,"22,442",10,"122,614","2,113"
128,Eswatini,"68,301",,"1,373 ",,"66,653",,275,11,"57,928","1,164"
129,Malta,"67,167",,544 ,,"62,614",,"4,009",5,"151,484","1,227"
130,Iceland,"64,486",,46 ,,"53,143",,"11,297",3,"187,064",133
131,Fiji,"62,373",,798 ,,"59,937",,"1,638",,"68,794",880
132,Guyana,"58,604",,"1,156 ",,"45,440",,"12,008",19,"73,946","1,459"
133,Mauritania,"58,041",,945 ,,"53,490",,"3,606",30,"11,988",195
134,Madagascar,"57,375",,"1,223 ",,"52,012",,"4,140",224,"1,992",42
135,Sudan,"57,106",,"3,422 ",,"40,329",,"13,355",,"1,256",75
136,Cabo Verde,"55,635",,395 ,,"54,579",,661,23,"98,384",699
137,Syria,"51,230",,"2,982 ",,"37,712",,"10,536",,"2,820",164
138,Belize,"50,487",,625 ,,"40,691",,"9,171",4,"123,447","1,528"
139,French Polynesia,"48,044",,636 ,,N/A,N/A,N/A,7,"169,489","2,244"
140,Gabon,"46,722",,301 ,,"41,798",,"4,623",10,"20,241",130
141,Barbados,"42,851",,277 ,,"33,682",,"8,892",,"148,825",962
142,Channel Islands,"40,947",,130 ,,"38,082",,"2,735",,"232,147",737
143,Burundi,"37,265",,38 ,,773,,"36,454",,"2,994",3
144,Curaçao,"36,875",,227 ,,"34,128",,"2,520",3,"223,283","1,375"
145,Papua New Guinea,"36,866",,597 ,,"35,877",,392,7,"4,001",65
146,Seychelles,"36,559",,149 ,,"32,811",,"3,599",,"368,149","1,500"
147,Togo,"36,469",,267 ,,"32,048",,"4,154",,"4,249",31
148,Mayotte,"36,282",,187 ,,"2,964",,"33,131",,"128,133",660
149,Guinea,"36,013",,416 ,,"31,870",,"3,727",49,"2,630",30
150,Andorra,"35,556",,145 ,,"30,488",,"4,923",14,"459,024","1,872"
151,Tanzania,"32,920",,778 ,,N/A,N/A,N/A,7,528,12
152,Aruba,"32,808",,193 ,,"32,198",,417,10,"305,250","1,796"
153,Bahamas,"32,419",,739 ,,"24,289",,"7,391",9,"81,219","1,851"
154,Lesotho,"32,176",,693 ,,"21,484",,"9,999",,"14,835",320
155,Mali,"29,983",,711 ,,"25,707",,"3,565",,"1,416",34
156,Haiti,"28,875",,784 ,,"24,410",,"3,681",,"2,485",67
157,Benin,"26,450",,163 ,,"25,506",,781,5,"2,096",13
158,Mauritius,"25,803",,762 ,,"24,775",,266,,"20,236",598
159,Somalia,"25,388",,"1,335 ",,"13,182",,"10,871",,"1,530",80
160,Congo,"23,653",,371 ,,"19,298",,"3,984",,"4,127",65
161,Isle of Man,"21,376",,70 ,,"20,728",,578,1,"249,309",816
162,Burkina Faso,"20,611",,366 ,,"20,086",,159,,945,17
163,Saint Lucia,"20,417",,326 ,,"15,877",,"4,214",5,"110,393","1,763"
164,Timor-Leste,"19,894",,122 ,,"19,740",,32,,"14,650",90
165,Taiwan,"18,681",+48,851 ,,"16,511",+60,"1,319",,782,36
166,New Caledonia,"18,643",,283 ,,"13,737",,"4,623",18,"64,327",976
167,Nicaragua,"17,650",,216 ,,"4,225",,"13,209",,"2,615",32
168,Faeroe Islands,"17,403",,18 ,,"7,693",,"9,692",5,"354,043",366
169,Tajikistan,"17,283",,124 ,,"17,078",,81,,"1,750",13
170,South Sudan,"16,775",,137 ,,"13,074",,"3,564",1,"1,471",12
171,Brunei ,"16,293",,98 ,,"15,842",,353,1,"36,690",221
172,New Zealand,"16,146",+155,52 ,,"14,689",+70,"1,405",,"3,228",10
173,Equatorial Guinea,"15,802",,182 ,,"15,200",,420,5,"10,711",123
174,Djibouti,"15,429",,189 ,,"15,107",,133,,"15,267",187
175,Hong Kong,"13,905",,213 ,,"12,572",,"1,120",,"1,831",28
176,CAR,"13,898",,110 ,,"6,859",,"6,929",2,"2,801",22
177,Cayman Islands,"13,788",,15 ,,"8,553",,"5,220",6,"205,988",224
178,Gibraltar,"12,610",,100 ,,"10,838",,"1,672",8,"374,462","2,970"
179,Grenada,"12,246",+156,210 ,,"10,193",+239,"1,843",,"108,044","1,853"
180,San Marino,"11,786",,108  ,,"10,091",,"1,587",2,"346,209","3,172"
181,Gambia,"11,572",,347 ,,"10,156",,"1,069",4,"4,586",138
182,Yemen,"10,878",,"2,006 ",,"7,090",,"1,782",23,353,65
183,Bermuda,"10,552",,116 ,,"9,032",,"1,404",,"170,424","1,874"
184,Greenland,"10,533",,5 ,,"2,761",,"7,767",15,"185,033",88
185,Eritrea,"9,489",,97 ,,"9,073",,319,,"2,619",27
186,Saint Martin,"9,439",,61 ,,"1,399",,"7,979",7,"237,740","1,536"
187,Sint Maarten,"9,229",,79 ,,"8,343",,807,14,"211,471","1,810"
188,Dominica,"8,838",,51 ,,"8,058",,729,,"122,296",706
189,Niger,"8,640",,298 ,,"7,866",,476,1,338,12
190,Liechtenstein,"8,590",,73 ,,"8,066",,451,1,"224,282","1,906"
191,Monaco,"8,183",,44 ,,"7,635",,504,4,"206,225","1,109"
192,Comoros,"7,829",+2,160 ,+1,"7,630",+4,39,,"8,711",178
193,Sierra Leone,"7,612",,125 ,,N/A,N/A,N/A,,925,15
194,Guinea-Bissau,"7,544",,154 ,,"6,556",,834,6,"3,696",75
195,Liberia,"7,254",,290 ,,"5,747",,"1,217",2,"1,383",55
196,Chad,"7,073",,190 ,,"4,874",,"2,009",,412,11
197,Caribbean Netherlands,"6,876",,27 ,,"5,912",,937,,"258,438","1,015"
198,St. Vincent Grenadines,"6,668",,93 ,,"5,747",,828,7,"59,806",834
199,Antigua and Barbuda,"6,558",,127 ,,"5,899",,532,1,"66,106","1,280"
200,Sao Tome and Principe,"5,873",,69 ,,"5,426",,378,,"26,038",306
201,British Virgin Islands,"5,809",,49 ,,N/A,N/A,N/A,8,"190,160","1,604"
202,Turks and Caicos,"5,692",+14,34 ,,"5,446",+21,212,4,"143,952",860
203,Saint Kitts and Nevis,"5,403",+10,33 ,,"4,916",+39,454,1,"100,444",613
204,Bhutan,"4,430",,4 ,,"2,780",,"1,646",,"5,644",5
205,St. Barth,"3,435",,6 ,,N/A,N/A,N/A,,"346,131",605
206,Anguilla,"2,324",,8 ,,"2,258",,58,,"152,754",526
207,Palau,"1,393",, ,,126,,"1,267",9,"76,413",
208,Solomon Islands,898,,5 ,,25,,868,5,"1,259",7
209,Saint Pierre Miquelon,856,+17, ,,658,+35,198,1,"148,895",
210,Wallis and Futuna,454,,7 ,,438,,9,,"41,541",640
211,Kiribati,201,, ,,,,201,,"1,643",
212,Montserrat,162,,1 ,,154,,7,2,"32,419",200
213,Falkland Islands,85,, ,,N/A,N/A,N/A,,"23,358",
214,Vatican City,29,, ,,27,,2,,"36,070",
215,Samoa,27,, ,,3,,24,,135,
216,Western Sahara,10,,1 ,,8,,1,,16,2
217,China,"105,934",+59,"4,636 ",,"99,171",+200,"2,127",8,74,3
218,"370,617,031","+380,983","5,668,521",+897,"292,685,666","+325,731","72,262,844","95,087","47,546.7",727.2,
